Date,target_btc_return_t1,btc_return_lag1,btc_return_lag2,btc_volatility_7d_lag1,btc_ma_7d_lag1,dxy_return_lag1,gold_return_lag1,vix_close_lag1
2023-05-17,-0.0206795076227598,-0.0057384153414947,0.0097307268012798,0.0103790329193837,27053.085100446428,0.0012691326079337,-0.0146679760088888,17.989999771118164
2023-05-18,0.0021585968530852,0.0133948672826562,-0.0057384153414947,0.0121600815893835,27021.23465401786,0.0031201219036827,-0.0038724970567511,16.8700008392334
2023-05-19,0.0036425134576618,-0.0206795076227598,0.0133948672826562,0.0116399078075086,26997.151785714286,0.0068040882224407,-0.0122178784108906,16.049999237060547
2023-05-22,0.0139453037543169,0.0021585968530852,-0.0206795076227598,0.0113143170487824,27009.314453125,-0.0036687089794834,0.0113467677852669,16.809999465942383
2023-05-23,-0.0327230276510641,0.0036425134576618,0.0021585968530852,0.0123011437685733,26984.640066964286,0.0,-0.0019709417496271,17.209999084472656
2023-05-24,0.0053688873014257,0.0139453037543169,0.0036425134576618,0.0134321134428305,27011.65094866072,0.0028100864738667,-0.0012153252758357,18.530000686645508
2023-05-25,0.0091812238848294,-0.0327230276510641,0.0139453037543169,0.0171712207355349,26859.65318080357,0.0038651225638777,-0.0048671544651746,20.030000686645508
2023-05-26,-0.0015690671469931,0.0053688873014257,-0.0327230276510641,0.0161278511686768,26808.79575892857,0.0030801780412379,-0.0100367193560797,19.13999938964844
2023-05-30,-0.0174242045550767,0.0091812238848294,0.0053688873014257,0.0166253981691519,26784.39034598214,0.0,0.0005146415586252,17.950000762939453
2023-05-31,-0.0146837092476463,-0.0015690671469931,0.0091812238848294,0.0236806797710487,27133.22154017857,-0.0003838491112059,0.0071498506191138,17.459999084472656
2023-06-01,0.0160185542694759,-0.0174242045550767,-0.0015690671469931,0.020333751645965,27259.62723214286,0.0014399685947543,0.003013291324853,17.940000534057617
2023-06-02,-0.0501111922380486,-0.0146837092476463,-0.0174242045550767,0.0216289918600653,27308.73660714286,-0.0072852965726012,0.0071795791082309,15.649999618530272
