Modelo,MAE,RMSE,R2
Regresión Lineal,0.018408687288238832,0.02565901143002253,-0.006929014708387804
Baseline Media Histórica,0.018623683393733142,0.025780026831570074,-0.016449355640953733
Baseline Naive,0.028166381199056473,0.03796492122875201,-1.2043676100507206
